,Subj,Cond,Block,Trial,Order,Resp,Name,Stim,RT,Correct,
1,201302171,1,1,0,1,57,SPACE,Welcome to the experiment - press spacebar to continue,69960,1,
2,201302171,1,1,0,2,57,SPACE,inst.txt,51391,1,
3,201302171,1,1,1,21,1,1,rock1.wav,6046,1,
4,201302171,1,1,2,84,2,2,clas1.wav,5118,1,
5,201302171,1,1,3,49,3,3,pop1.wav,11777,1,
6,201302171,1,1,4,83,1,1,rock2.wav,2646,1,
7,201302171,1,1,5,7,2,2,clas2.wav,4447,1,
8,201302171,1,1,6,33,1,1,pop2.wav,8862,0,
9,201302171,1,1,7,48,1,1,rock3.wav,4993,1,
10,201302171,1,1,8,53,2,2,clas3.wav,3012,1,
11,201302171,1,1,9,12,3,3,pop3.wav,6753,1,
12,201302171,1,1,10,56,1,1,rock4.wav,3420,1,
13,201302171,1,1,0,13,57,SPACE,BREAK,1199,1,
14,201302171,1,1,11,36,2,2,clas4.wav,8548,1,
15,201302171,1,1,12,73,3,3,pop4.wav,4932,1,
16,201302171,1,1,13,69,1,1,rock5.wav,9073,1,
17,201302171,1,1,14,3,2,2,clas5.wav,14235,1,
18,201302171,1,1,15,28,1,1,pop5.wav,4871,0,
19,201302171,1,1,16,92,1,1,rock6.wav,2396,1,
20,201302171,1,1,17,38,2,2,clas6.wav,6149,1,
21,201302171,1,1,18,70,3,3,pop6.wav,25018,1,
22,201302171,1,1,19,44,1,1,rock7.wav,3584,1,
23,201302171,1,1,20,8,2,2,clas7.wav,4218,1,
24,201302171,1,1,0,24,57,SPACE,BREAK,1197,1,
25,201302171,1,1,21,80,3,3,pop7.wav,7765,1,
26,201302171,1,1,22,62,1,1,rock8.wav,11531,1,
27,201302171,1,1,23,66,2,2,clas8.wav,6194,1,
28,201302171,1,1,24,23,3,3,pop8.wav,6575,1,
29,201302171,1,1,25,54,1,1,rock9.wav,11245,1,
30,201302171,1,1,26,91,2,2,clas9.wav,4828,1,
31,201302171,1,1,27,29,3,3,pop9.wav,6133,1,
32,201302171,1,1,28,25,1,1,rock10.wav,6462,1,
33,201302171,1,1,29,58,2,2,clas10.wav,4881,1,
34,201302171,1,1,30,19,3,3,pop10.wav,11657,1,
35,201302171,1,1,0,35,57,SPACE,BREAK,1633,1,
36,201302171,1,1,31,39,1,1,rock11.wav,7124,1,
37,201302171,1,1,32,22,2,2,clas11.wav,4762,1,
38,201302171,1,1,33,82,3,3,pop11.wav,25429,1,
39,201302171,1,1,34,96,1,1,rock12.wav,8129,1,
40,201302171,1,1,35,55,2,2,clas12.wav,4168,1,
41,201302171,1,1,36,75,1,1,pop12.wav,6060,0,
42,201302171,1,1,37,10,1,1,rock13.wav,3565,1,
43,201302171,1,1,38,51,2,2,clas13.wav,2566,1,
44,201302171,1,1,39,89,3,3,pop13.wav,3784,1,
45,201302171,1,1,40,65,1,1,rock14.wav,2413,1,
46,201302171,1,1,0,46,57,SPACE,BREAK,1315,1,
47,201302171,1,1,41,17,2,2,clas14.wav,19864,1,
48,201302171,1,1,42,81,3,3,pop14.wav,4553,1,
49,201302171,1,1,43,31,2,2,rock15.wav,9073,0,
50,201302171,1,1,44,37,2,2,clas15.wav,3134,1,
51,201302171,1,1,45,87,1,1,pop15.wav,4061,0,
52,201302171,1,1,46,98,2,2,clas16.wav,6933,1,
53,201302171,1,1,47,42,3,3,pop16.wav,10993,1,
