Subj,Cond,Block,Trial,Order,Resp,Name,Stim,RT,Correct,
201600118,1,1,0,1,57,SPACE,Welcome to the experiment - press spacebar to continue,5944,1,
201600118,1,1,0,2,57,SPACE,inst.txt,12053,1,
201600118,1,1,1,31,1,1,rock1.wav,4638,1,
201600118,1,1,2,58,2,2,clas1.wav,3249,1,
201600118,1,1,3,82,3,3,pop1.wav,44272,1,
201600118,1,1,4,39,1,1,rock2.wav,1961,1,
201600118,1,1,5,85,2,2,clas2.wav,3014,1,
201600118,1,1,6,26,1,1,pop2.wav,5642,0,
201600118,1,1,7,30,1,1,rock3.wav,3889,1,
201600118,1,1,8,73,2,2,clas3.wav,3037,1,
201600118,1,1,9,17,3,3,pop3.wav,4279,1,
201600118,1,1,10,22,1,1,rock4.wav,3185,1,
201600118,1,1,0,13,57,SPACE,BREAK,1540,1,
201600118,1,1,11,88,2,2,clas4.wav,5732,1,
201600118,1,1,12,20,2,2,pop4.wav,4000,0,
201600118,1,1,13,9,1,1,rock5.wav,2226,1,
201600118,1,1,14,33,2,2,clas5.wav,21721,1,
201600118,1,1,15,61,3,3,pop5.wav,9145,1,
201600118,1,1,16,11,1,1,rock6.wav,29855,1,
201600118,1,1,17,54,2,2,clas6.wav,3142,1,
201600118,1,1,18,81,2,2,pop6.wav,7957,0,
201600118,1,1,19,16,1,1,rock7.wav,1659,1,
201600118,1,1,20,84,2,2,clas7.wav,4536,1,
201600118,1,1,0,24,57,SPACE,BREAK,1464,1,
201600118,1,1,21,69,3,3,pop7.wav,9255,1,
201600118,1,1,22,38,1,1,rock8.wav,3269,1,
201600118,1,1,23,83,2,2,clas8.wav,4724,1,
201600118,1,1,24,43,3,3,pop8.wav,4084,1,
201600118,1,1,25,65,1,1,rock9.wav,17039,1,
201600118,1,1,26,37,2,2,clas9.wav,3256,1,
201600118,1,1,27,5,3,3,pop9.wav,6357,1,
201600118,1,1,28,74,1,1,rock10.wav,11432,1,
201600118,1,1,29,64,2,2,clas10.wav,6747,1,
201600118,1,1,30,32,3,3,pop10.wav,8610,1,
201600118,1,1,0,35,57,SPACE,BREAK,946,1,
201600118,1,1,31,6,1,1,rock11.wav,4205,1,
201600118,1,1,32,78,2,2,clas11.wav,6960,1,
201600118,1,1,33,62,3,3,pop11.wav,6466,1,
201600118,1,1,34,96,1,1,rock12.wav,2344,1,
201600118,1,1,35,4,2,2,clas12.wav,2818,1,
201600118,1,1,36,29,3,3,pop12.wav,9848,1,
201600118,1,1,37,72,1,1,rock13.wav,4651,1,
201600118,1,1,38,89,2,2,clas13.wav,2579,1,
201600118,1,1,39,94,3,3,pop13.wav,1659,1,
201600118,1,1,40,28,1,1,rock14.wav,3116,1,
201600118,1,1,0,46,57,SPACE,BREAK,851,1,
201600118,1,1,41,41,2,2,clas14.wav,1985,1,
201600118,1,1,42,47,3,3,pop14.wav,1983,1,
201600118,1,1,43,75,2,2,rock15.wav,1909,0,
201600118,1,1,44,18,2,2,clas15.wav,6624,1,
201600118,1,1,45,77,3,3,pop15.wav,3202,1,
201600118,1,1,46,86,2,2,clas16.wav,17291,1,
201600118,1,1,47,49,1,1,pop16.wav,7115,0,
201600118,1,1,48,97,2,2,rock16.wav,3034,0,
201600118,1,1,49,7,2,2,clas17.wav,9648,1,
201600118,1,1,50,87,3,3,pop17.wav,1962,1,
201600118,1,1,0,57,57,SPACE,BREAK,1025,1,
201600118,1,1,51,63,1,1,rock17.wav,2811,1,
201600118,1,1,52,25,2,2,clas18.wav,4956,1,
201600118,1,1,53,36,3,3,pop18.wav,2202,1,
201600118,1,1,54,19,1,1,rock18.wav,2810,1,
201600118,1,1,55,91,2,2,clas19.wav,1449,1,
201600118,1,1,56,3,2,2,pop19.wav,3868,0,
201600118,1,1,57,98,3,3,rock19.wav,3702,0,
201600118,1,1,58,76,2,2,clas20.wav,3060,1,
201600118,1,1,59,93,3,3,pop20.wav,1824,1,
201600118,1,1,60,42,1,1,rock20.wav,4464,1,
201600118,1,1,0,68,57,SPACE,BREAK,3480,1,
201600118,1,1,61,50,2,2,clas21.wav,1941,1,
201600118,1,1,62,23,3,3,pop21.wav,3463,1,
201600118,1,1,63,44,1,1,rock21.wav,14942,1,
201600118,1,1,64,60,2,2,clas22.wav,2476,1,
201600118,1,1,65,12,3,3,pop22.wav,6604,1,
201600118,1,1,66,34,1,1,rock22.wav,1929,1,
201600118,1,1,67,45,2,2,clas23.wav,5079,1,
201600118,1,1,68,59,3,3,pop23.wav,3200,1,
201600118,1,1,69,92,1,1,rock23.wav,1919,1,
201600118,1,1,70,14,2,2,clas24.wav,4431,1,
201600118,1,1,0,79,57,SPACE,BREAK,15712,1,
201600118,1,1,71,55,3,3,pop24.wav,4156,1,
201600118,1,1,72,53,1,1,rock24.wav,4352,1,
201600118,1,1,73,100,2,2,clas25.wav,1646,1,
201600118,1,1,74,71,3,3,pop25.wav,6869,1,
201600118,1,1,75,99,1,1,rock25.wav,2138,1,
201600118,1,1,76,80,2,2,clas26.wav,2160,1,
201600118,1,1,77,95,3,3,pop26.wav,6919,1,
201600118,1,1,78,10,1,1,rock26.wav,3318,1,
201600118,1,1,79,21,2,2,clas27.wav,1813,1,
201600118,1,1,80,27,1,1,pop27.wav,4396,0,
201600118,1,1,0,90,57,SPACE,BREAK,933,1,
201600118,1,1,81,56,2,2,rock27.wav,10047,0,
201600118,1,1,82,8,2,2,clas28.wav,1789,1,
201600118,1,1,83,67,3,3,pop28.wav,4695,1,
201600118,1,1,84,15,1,1,rock28.wav,4321,1,
201600118,1,1,85,51,2,2,clas29.wav,2509,1,
201600118,1,1,86,48,2,2,pop29.wav,2231,0,
201600118,1,1,87,70,2,2,rock29.wav,3323,0,
201600118,1,1,88,66,2,2,clas30.wav,3612,1,
201600118,1,1,89,52,2,2,pop30.wav,10584,0,
201600118,1,1,90,40,1,1,rock30.wav,3151,1,
201600118,1,1,0,101,57,SPACE,"Thank you, this is the end of the experiment - Press spacebar to exit",1062,1,
,,,,,,,,5.420594059,88,13
