block,trial,bgr,wgr,style,stim,loc,time,stim,loc,time,*
1,0,0,0,1,~Welcome to the experiment - press spacebar to continue,"0,0,0",rt:57,*,,,
1,0,0,0,1,#inst.txt,"0,0,0",rt:57,*,,,
1,1,0,1,1,~+,"0,0,1",2000,_rock1.wav,"0,0,0","rt:1, 2, 3",*
1,2,0,1,1,~+,"0,0,1",2000,_clas1.wav,"0,0,0","rt:2, 1, 3",*
1,3,0,1,1,~+,"0,0,1",2000,_pop1.wav,"0,0,0","rt:3, 2, 1",*
1,4,0,1,1,~+,"0,0,1",2000,_rock2.wav,"0,0,0","rt:1, 2, 3",*
1,5,0,1,1,~+,"0,0,1",2000,_clas2.wav,"0,0,0","rt:2, 1, 3",*
1,6,0,1,1,~+,"0,0,1",2000,_pop2.wav,"0,0,0","rt:3, 2, 1",*
1,7,0,1,1,~+,"0,0,1",2000,_rock3.wav,"0,0,0","rt:1, 2, 3",*
1,8,0,1,1,~+,"0,0,1",2000,_clas3.wav,"0,0,0","rt:2, 1, 3",*
1,9,0,1,1,~+,"0,0,1",2000,_pop3.wav,"0,0,0","rt:3, 2, 1",*
1,10,0,1,1,~+,"0,0,1",2000,_rock4.wav,"0,0,0","rt:1, 2, 3",*
1,0,0,0,1,~BREAK,"0,0,0",rt:57,*,,,
1,11,0,1,1,~+,"0,0,1",2000,_clas4.wav,"0,0,0","rt:2, 1, 3",*
1,12,0,1,1,~+,"0,0,1",2000,_pop4.wav,"0,0,0","rt:3, 2, 1",*
1,13,0,1,1,~+,"0,0,1",2000,_rock5.wav,"0,0,0","rt:1, 2, 3",*
1,14,0,1,1,~+,"0,0,1",2000,_clas5.wav,"0,0,0","rt:2, 1, 3",*
1,15,0,1,1,~+,"0,0,1",2000,_pop5.wav,"0,0,0","rt:3, 2, 1",*
1,16,0,1,1,~+,"0,0,1",2000,_rock6.wav,"0,0,0","rt:1, 2, 3",*
1,17,0,1,1,~+,"0,0,1",2000,_clas6.wav,"0,0,0","rt:2, 1, 3",*
1,18,0,1,1,~+,"0,0,1",2000,_pop6.wav,"0,0,0","rt:3, 2, 1",*
1,19,0,1,1,~+,"0,0,1",2000,_rock7.wav,"0,0,0","rt:1, 2, 3",*
1,20,0,1,1,~+,"0,0,1",2000,_clas7.wav,"0,0,0","rt:2, 1, 3",*
1,0,0,0,1,~BREAK,"0,0,0",rt:57,*,,,
1,21,0,1,1,~+,"0,0,1",2000,_pop7.wav,"0,0,0","rt:3, 2, 1",*
1,22,0,1,1,~+,"0,0,1",2000,_rock8.wav,"0,0,0","rt:1, 2, 3",*
1,23,0,1,1,~+,"0,0,1",2000,_clas8.wav,"0,0,0","rt:2, 1, 3",*
1,24,0,1,1,~+,"0,0,1",2000,_pop8.wav,"0,0,0","rt:3, 2, 1",*
1,25,0,1,1,~+,"0,0,1",2000,_rock9.wav,"0,0,0","rt:1, 2, 3",*
1,26,0,1,1,~+,"0,0,1",2000,_clas9.wav,"0,0,0","rt:2, 1, 3",*
1,27,0,1,1,~+,"0,0,1",2000,_pop9.wav,"0,0,0","rt:3, 2, 1",*
1,28,0,1,1,~+,"0,0,1",2000,_rock10.wav,"0,0,0","rt:1, 2, 3",*
1,29,0,1,1,~+,"0,0,1",2000,_clas10.wav,"0,0,0","rt:2, 1, 3",*
1,30,0,1,1,~+,"0,0,1",2000,_pop10.wav,"0,0,0","rt:3, 2, 1",*
1,0,0,0,1,~BREAK,"0,0,0",rt:57,*,,,
1,31,0,1,1,~+,"0,0,1",2000,_rock11.wav,"0,0,0","rt:1, 2, 3",*
1,32,0,1,1,~+,"0,0,1",2000,_clas11.wav,"0,0,0","rt:2, 1, 3",*
1,33,0,1,1,~+,"0,0,1",2000,_pop11.wav,"0,0,0","rt:3, 2, 1",*
1,34,0,1,1,~+,"0,0,1",2000,_rock12.wav,"0,0,0","rt:1, 2, 3",*
1,35,0,1,1,~+,"0,0,1",2000,_clas12.wav,"0,0,0","rt:2, 1, 3",*
1,36,0,1,1,~+,"0,0,1",2000,_pop12.wav,"0,0,0","rt:3, 2, 1",*
1,37,0,1,1,~+,"0,0,1",2000,_rock13.wav,"0,0,0","rt:1, 2, 3",*
